title, author, description, image_url
The Dharma Bums,Jack Kerouac,'During the 1950s the search for Buddhist truths takes two young Bohemians through a series of bizarre experiences in California.',http://books.google.com/books/content?id=P4WYPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Freakonomics,Steven D. Levitt,"Modern life can be baffling and chaotic. Is there any way of making sense of it? The answer, explains groundbreaking thinker Steven Levitt, lies in economics. Not ordinary economics, but freakonomics. It is at the heart of everything we see and do and the subjects that bedevil us daily: from parenting to crime, sport to politics, fat to cheating, fear to traffic jams. away the jargon and calculations of the experts' to explore the riddles of everyday life and examine topics such as: how chips are more likely to kill you than murder or a terrorist attack; why sportsmen cheat and how fraud can be spotted; why violent crime can be linked not to gun laws, policing or poverty, but to abortion; why a road is more efficient when everyone travels at 20mph; how the name you give your child can give them an advantage in later life; and what really causes obesity epidemics. Ultimately, he shows us that economics is all about how people get what they want, and what makes them do it. contemporary living and reaching some astonishing conclusions, Freakonomics will make you see the familiar world through a completely original lens.",http://books.google.com/books/content?id=p9XrAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
